,id_num,title,release_date,poster_path,overview,vote_average,original_title,original_language,backdrop_path,popularity,homepage,revenue,runtime,budget
38,916605,The Infernal Machine,2022-09-23,/bSqpOGzaKBdGkBLmcm1JJIVryYy.jpg,"Reclusive and controversial author Bruce Cogburn is drawn out of hiding by an obsessive fan, forcing the novelist to confront a past that he thought he could escape, and to account for events set in motion by his bestseller decades earlier. Cogburn's search for who is behind the manipulation and mental torment he encounters leads to an emotional roller-coaster ride full of fear and danger, where things are not always as clear as they seem to be, and where past deeds can have dire consequences.",6.9,The Infernal Machine,en,/7AiIrnDMaOhPrw9elJ5NNjijTW4.jpg,628.043,,0,107,0
39,900667,One Piece Film Red,2022-08-06,/m80kPdrmmtEh9wlLroCp0bwUGH0.jpg,"Uta — the most beloved singer in the world. Her voice, which she sings with while concealing her true identity, has been described as “otherworldly.” She will appear in public for the first time at a live concert. As the venue fills with all kinds of Uta fans — excited pirates, the Navy watching closely, and the Straw Hats led by Luffy who simply came to enjoy her sonorous performance — the voice that the whole world has been waiting for is about to resound.",7.3,ONE PIECE FILM RED,ja,/Ach0puWzxuO2imh1yWEUK7CGsx.jpg,715.562,https://www.onepiece-filmred.com,150797338,115,0
40,438148,Minions: The Rise of Gru,2022-06-29,/wKiOkZTN9lUUUNZLmtnwubZYONg.jpg,"A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.",7.5,Minions: The Rise of Gru,en,/vFGDYJZA7NenGR1OaEGz0pKKFEs.jpg,647.262,https://www.minionsmovie.com/,936000000,87,85000000
41,610150,Dragon Ball Super: Super Hero,2022-06-11,/rugyJdeoJm7cSJL1q4jBpTNbxyU.jpg,"The Red Ribbon Army, an evil organization that was once destroyed by Goku in the past, has been reformed by a group of people who have created new and mightier Androids, Gamma 1 and Gamma 2, and seek vengeance against Goku and his family.",8.0,ドラゴンボール超 スーパーヒーロー,ja,/ugS5FVfCI3RV0ZwZtBV3HAV75OX.jpg,653.294,,70000000,99,0
42,760741,Beast,2022-08-11,/xIGr7UHsKf0URWmyyd5qFMAq4d8.jpg,"A recently widowed man and his two teenage daughters travel to a game reserve in South Africa. However, their journey of healing soon turns into a fight for survival when a bloodthirsty lion starts to stalk them.",7.0,Beast,en,/2k9tBql5GYH328Krj66tDT9LtFZ.jpg,605.779,https://www.beastmovie.com,56000000,93,0
43,19995,Avatar,2009-12-15,/jRXYjXNq0Cs2TcJjLkki24MLp7u.jpg,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",7.5,Avatar,en,/7ABsaBkO1jA2psC8Hy4IDhkID4h.jpg,659.027,https://www.avatar.com/movies/avatar,2920357254,162,237000000
44,848791,The Stranger,2022-10-06,/ydbm5Ad1nyZq7eywWsw82Wxdsgg.jpg,"Two strangers strike up a conversation on a long journey. One is a suspect in an unsolved missing person’s case and the other an undercover operative on his trail. Their uneasy friendship becomes the core of this tightly wrought thriller, which is based on the true story of one of the largest investigations and undercover operations in Australia.",6.1,The Stranger,en,/u6WzMRpTkGzIlfsPNtDfIBfEy9z.jpg,532.653,https://www.transmissionfilms.com.au/films/the-stranger,0,117,0
45,879538,Crawlspace,2022-03-31,/yZVByCjWvKdSWcYLacoFmnOoSpm.jpg,"After witnessing a brutal murder in a cabin, a man hides in a crawlspace while the killers scour the property for a hidden fortune. As they draw nearer, he must decide if the crawlspace will be his tomb or the battleground in his fight for survival.",6.9,Crawlspace,en,/60UN7vvcWWggLe0Uz9EFZJx718P.jpg,536.124,,0,90,0
46,675353,Sonic the Hedgehog 2,2022-03-30,/6DrHO1jr3qVrViUO6s6kFiAGM7.jpg,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",7.6,Sonic the Hedgehog 2,en,/yEQqrW61rwNuVRHTjgHOAU4dXNE.jpg,614.653,https://www.sonicthehedgehogmovie.com,401800000,122,110000000
47,928773,Whisper,2022-01-23,/3zunvPLgM9qGFr8ob2BpaKSuAJI.jpg,A young Nurse is assigned to look after a patient in a remote location in the English countryside. As the night continues she finds herself terrorized by an unseen force that is connected with her patient.,6.2,Whisper,en,/t0qAnq1iOno3Z926Fc1OeKk43Qu.jpg,537.412,,0,76,20000
48,928015,Dracula: The Original Living Vampire,2022-01-28,/weZUBP2WvRwso1wTMNp3JK96ULS.jpg,"Detective Amelia Van Helsing is on the desperate hunt for the killer responsible for a string of grisly murders targeting young women. Matters only worsen when all evidence leads to the seemingly untouchable Count Dracula. And when Van Helsing’s girlfriend vanishes, she is forced to question the very existence of monsters in a final showdown with the enigmatic count.",5.5,Dracula: The Original Living Vampire,en,/wfdc6HVUiIluKxFxe7deJUvnwN0.jpg,524.556,,0,86,0
49,453395,Doctor Strange in the Multiverse of Madness,2022-05-04,/fwBl3J2aEXru6mrr9Xg8O99Iz2K.jpg,"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.",7.4,Doctor Strange in the Multiverse of Madness,en,/gUNRlH66yNDH3NQblYMIwgZXJ2u.jpg,608.755,https://www.marvel.com/movies/doctor-strange-in-the-multiverse-of-madness,955800000,126,200000001
50,76600,Avatar: The Way of Water,2022-12-14,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",0.0,Avatar: The Way of Water,en,/198vrF8k7mfQ4FjDJsBmdQcaiyq.jpg,658.467,https://www.avatar.com/movies/avatar-the-way-of-water,0,0,250000000
51,791155,Secret Headquarters,2022-08-12,/8PsHogUfvjWPGdWAI5uslDhHDx7.jpg,"While hanging out after school, Charlie and his friends discover the headquarters of the world’s most powerful superhero hidden beneath his home. When villains attack, they must team up to defend the headquarters and save the world.",6.9,Secret Headquarters,en,/aIkG2V4UXrfkxMdJZmq30xO0QQr.jpg,569.211,,0,104,0
52,539681,DC League of Super-Pets,2022-07-27,/r7XifzvtezNt31ypvsmb6Oqxw49.jpg,"When Superman and the rest of the Justice League are kidnapped, Krypto the Super-Dog must convince a rag-tag shelter pack - Ace the hound, PB the potbellied pig, Merton the turtle and Chip the squirrel - to master their own newfound powers and help him rescue the superheroes.",7.5,DC League of Super-Pets,en,/qaTzVAW1u16WFNsepjCrilBuInc.jpg,570.507,https://www.dcleagueofsuperpets.com,203000000,105,90000000
53,86328,Terrifier,2011-08-09,/gb6rq2nD0jRrN0dCzigg2MxXNsB.jpg,"After witnessing a brutal murder on Halloween night, a young woman becomes the next target of a maniacal entity.",6.6,Terrifier,en,/bJa3RcFKgtVKJqTJCSSuBQeP9c8.jpg,444.246,,0,20,0
54,744276,After Ever Happy,2022-08-24,/6b7swg6DLqXCO3XUsMnv6RwDMW2.jpg,"As a shocking truth about a couple's families emerges, the two lovers discover they are not so different from each other. Tessa is no longer the sweet, simple, good girl she was when she met Hardin — any more than he is the cruel, moody boy she fell so hard for.",7.0,After Ever Happy,en,/rwgmDkIEv8VjAsWx25ottJrFvpO.jpg,552.906,,12467270,95,0
55,916719,Code Name Banshee,2022-07-01,/g29dShv0wHJUvif2KPq039imds5.jpg,"Caleb, a former government assassin in hiding, who resurfaces when his protégé, the equally deadly killer known as Banshee, discovers a bounty has been placed on Caleb's head.",5.1,Code Name Banshee,en,/ttkibtcAjoilW1PbTIFy9U9YOdB.jpg,546.603,,0,93,0
56,936061,Under Wraps 2,2022-09-25,/y37QvulwOJ1uv0onnDB4ocWEQZn.jpg,"As Marshall, Gilbert and Amy are preparing for her father’s Spooktacular Halloween-themed wedding to his fiancé Carl, plans go awry when they discover that their mummy friend Harold and his beloved Rose may be in danger.",6.4,Under Wraps 2,en,/vcqqpzVyMiShaneJmAGbJ6i7bo1.jpg,466.259,,0,83,0
57,619730,Don't Worry Darling,2022-09-21,/60hrKYVq6Y1QRJeHNbYo3tHDcUd.jpg,"Alice and Jack are lucky to be living in the idealized community of Victory, the experimental company town housing the men who work for the top-secret Victory Project and their families. But when cracks in their idyllic life begin to appear, exposing flashes of something much more sinister lurking beneath the attractive façade, Alice can’t help questioning exactly what they’re doing in Victory, and why.",6.9,Don't Worry Darling,en,/3ibGaDmgTdXY448ENZmtHEmhP6o.jpg,507.533,https://www.dontworrydarling.movie,86000000,123,35000000
58,862965,Emily the Criminal,2022-08-12,/iZvzMpREGiqDQ5eYbx8z70qPgst.jpg,"Emily, who is saddled with student debt and locked out of the job market due to a minor criminal record, gets involved in a credit card scam that pulls her into the criminal underworld of Los Angeles, ultimately leading to deadly consequences.",6.8,Emily the Criminal,en,/gVecEIEZLZg3pV5CACXAB48I6au.jpg,883.308,https://www.emilythecriminal.com/,0,97,0
59,811061,So Cold the River,2022-03-25,/dhnFKLefUEFTq35XGM6GpKUyi4D.jpg,A documentary filmmaker's research on a town's mysterious benefactor unearths an unexplained evil while staying at a local resort.,5.5,So Cold the River,en,/mk9LcqxSPVxvquFhQYg8vRhC1zM.jpg,464.444,,0,93,0
60,629176,Samaritan,2022-08-25,/vwq5iboxYoaSpOmEQrhq9tHicq7.jpg,"Thirteen year old Sam Cleary  suspects that his mysteriously reclusive neighbor Mr. Smith is actually the legendary vigilante Samaritan, who was reported dead 20 years ago. With crime on the rise and the city on the brink of chaos, Sam makes it his mission to coax his neighbor out of hiding to save the city from ruin.",6.9,Samaritan,en,/hYZ4a0JvPETdfgJJ9ZzyFufq8KQ.jpg,475.441,https://www.unitedartistsreleasing.com/samaritan/,0,102,100000000
61,904039,Madagascar: A Little Wild Holiday Goose Chase,2021-11-26,/vwYx8HHQFlKFVK3Hs8U0Au6nKGa.jpg,"Melman the Giraffe meets Hank, a goose who has been separated from his family and along with his friends, they embark on a wild goose chase around the city to reunite Hank with his merry flock.",5.3,Madagascar: A Little Wild Holiday Goose Chase,en,/oUCq5CC1LPRDd9nDDXgve5gb2tM.jpg,492.832,,0,24,0
62,955644,Mia and Me: The Hero of Centopia,2022-05-26,/a3ZpDsvNCQUOD7ApAs9y3mFwVU4.jpg,"Mia discovers her magic stone is part of an ancient prophecy and embarks on a thrilling journey to the farthest islands of Centopia to face a great evil, and shape her own destiny.",7.3,Mia and Me: The Hero of Centopia,en,/a6OX0pzbcPHstcNPK3FSJGq8Sxp.jpg,472.729,,0,82,0
63,414906,The Batman,2022-03-01,/74xTEgt7R36Fpooo50r9T25onhq.jpg,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",7.7,The Batman,en,/b0PlSFdDwbyK0cf5RxwDpaOJQvQ.jpg,477.943,https://www.thebatman.com,770836163,177,185000000
64,1024535,Matriarch,2022-10-11,/eyr8okTqsFTUVW3DD1edTMsWc3u.jpg,"Afflicted with a mysterious disease after surviving an overdose, a woman returns to her childhood home to confront her personal demons but instead discovers a real one.",5.2,Matriarch,en,/7R1gR2t4JL6raEOuZvbP3y0yl8r.jpg,478.61,https://www.hulu.com/movie/matriarch-e9bf60cc-2250-4d30-885e-4b2527c8ff3e,0,85,0
65,1040603,Orgasm Inc: The Story of OneTaste,2022-11-05,/yqI3XQ1nmvxFpBus1BescRrRBAj.jpg,"A sexual wellness company gains fame and followers, then members come forward with shocking allegations.",6.0,Orgasm Inc: The Story of OneTaste,en,/hraytJBd1Ztcp7k9So4zLFcgsyh.jpg,570.891,https://www.netflix.com/title/81487901,0,89,0
66,810693,Jujutsu Kaisen 0,2021-12-24,/yzkgx79vj1KsZBzxFBIsQBwBkPE.jpg,"Yuta Okkotsu is a nervous high school student who is suffering from a serious problem—his childhood friend Rika has turned into a curse and won't leave him alone. Since Rika is no ordinary curse, his plight is noticed by Satoru Gojo, a teacher at Jujutsu High, a school where fledgling exorcists learn how to combat curses. Gojo convinces Yuta to enroll, but can he learn enough in time to confront the curse that haunts him?",8.3,劇場版 呪術廻戦 0,ja,/geYUecpFI2AonDLhjyK9zoVFcMv.jpg,495.994,,161577527,105,0
67,585511,Luck,2022-08-05,/1HOYvwGFioUFL58UVvDRG6beEDm.jpg,"Suddenly finding herself in the never-before-seen Land of Luck, the unluckiest person in the world must unite with the magical creatures there to turn her luck around.",7.9,Luck,en,/3p3amyz5nXK9AW4VARqkPaMAG5J.jpg,453.841,https://tv.apple.com/movie/umc.cmc.5w6fq1u39v7ozsdv3jkx0nrfs,0,105,0
68,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg,"Tanjirō Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyōjurō Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",8.3,劇場版「鬼滅の刃」無限列車編,ja,/qjGrUmKW78MCFG8PTLDBp67S27p.jpg,492.412,https://demonslayer-anime.com,503063688,117,15800000
69,834734,Psychosexual,2022-05-12,/g5cEKhHn2NSH18FxASF8UT0LfsC.jpg,"After finding her boyfriend cheating on her, a woman becomes obsessed with a YouTuber to the point that she thinks he's the perfect man for her.",2.0,Sicosexual,es,/pwEilCqu0rYNNWjEmrxdWpAEM4x.jpg,425.741,,0,93,0
70,833097,Falling for Christmas,2022-11-10,/6GkphwL9s6dZb3DoQS9OQ4LcPgY.jpg,"A newly engaged and spoiled hotel heiress finds herself in the care of a handsome, blue-collar lodge owner and his precocious daughter after getting total amnesia in a skiing accident.",7.0,Falling for Christmas,en,/iVtpnbPE91vmi3LmcOXycEblwPA.jpg,807.512,https://www.netflix.com/title/81416312,0,95,0
71,756999,The Black Phone,2022-06-22,/lr11mCT85T1JanlgjMuhs9nMht4.jpg,"Finney Blake, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer’s previous victims. And they are dead set on making sure that what happened to them doesn’t happen to Finney.",7.9,The Black Phone,en,/AfvIjhDu9p64jKcmohS4hsPG95Q.jpg,428.421,https://www.theblackphonemovie.com/,161000000,103,17000000
72,807356,Watcher,2022-06-03,/dXCjoI3jdtBrwPHgVsyNLkl8Rvs.jpg,"As a serial killer stalks the city, Julia — a young actress who just moved to town with her husband — notices a mysterious stranger watching her from across the street.",6.3,Watcher,en,/2cQMVHBaP1wK0UBX5SGDahB3lp3.jpg,788.6,http://watchermovie.com,2667033,96,0
73,568124,Encanto,2021-10-13,/4j0PNHkMr5ax3IA8tjtxcmPU3QT.jpg,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",7.7,Encanto,en,/3G1Q5xF40HkUBJXxt2DQgQzKTp5.jpg,459.756,https://movies.disney.com/encanto,253000000,102,50000000
74,508947,Turning Red,2022-03-01,/qsdjk9oAKSQMWs0Vt5Pyfh6O4GZ.jpg,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",7.5,Turning Red,en,/fOy2Jurz9k6RnJnMUMRDAgBwru2.jpg,457.135,https://www.disneyplus.com/movies/turning-red/4mFPCXJi7N2m,18879922,100,190000000
75,579974,RRR,2022-03-24,/kdO4JtO5DnIMyLymQv8C8Ol1CzA.jpg,A fictional history of two legendary revolutionaries' journey away from home before they began fighting for their country in the 1920s.,7.8,రౌద్రం రణం రుధిరం,te,/d3l7kgFJyLTTQSrR4ysCk5yeVyW.jpg,448.924,,160000000,187,69000000
76,962232,Beyond the Universe,2022-10-27,/AlAP6WRSBuf5cP8OgpHTF45BPUp.jpg,"While waiting for a kidney transplant, a young pianist finds an unexpected connection with her doctor — and the courage to fulfill her musical dreams.",8.1,Depois do Universo,pt,/pKfvYWbxhVnGHg6By3VaxtrbLZe.jpg,415.338,https://www.netflix.com/title/81435930,0,126,0
77,1024530,Grimcutty,2022-10-10,/qvg75YJMfbHeDNirUrrgBMQImRn.jpg,A suburban teen girl and her little brother must stop a terrifying internet meme brought to life by the hysteria of their parents.,5.6,Grimcutty,en,/y59qFOlmRKfRKIWzxuzUf0mDc4G.jpg,372.814,https://www.hulu.com/movie/grimcutty-c13c6ee6-0307-40ae-8a6a-5c6d48996323,0,101,0
78,924482,The Ledge,2022-02-18,/S99eCSnRFfeZJmDaIGIZF58H7w.jpg,"A rock climbing adventure between two friends turns into a terrifying nightmare. After Kelly captures the murder of her best friend on camera, she becomes the next target of a tight knit group of friends who will stop at nothing to destroy the evidence and anyone in their way. Desperate for her safety, she begins a treacherous climb up a mountain cliff and her survival instincts are put to the test when she becomes trapped with the killers just 20 feet away.",6.3,The Ledge,en,/jazlkwXfw4KdF6fVTRsolOvRCmu.jpg,410.686,,0,86,2500000
79,820067,The Quintessential Quintuplets Movie,2022-05-20,/sg7klpt1xwK1IJirBI9EHaqQwJ5.jpg,"When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?",9.1,映画 五等分の花嫁,ja,/jBIMZ0AlUYuFNsKbd4L6FojWMoy.jpg,475.395,https://www.thequintessentialquintuplets-movie.com/,0,136,0
